Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,
80974,Hospitalisation,2021,January,Friday,17,Hit pedestrian,Hit pedestrian,153.41119,-27.50205764,Alfred Martin Wy,,,Dunwich,Redland City,4183,Dunwich,South Brisbane,Brisbane,SEQ South,Metropolitan,Redland Islands,Cleveland - Stradbroke,Brisbane - East,Remote,Oodgeroo,Bowman,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,6,Ped'N: Hit Facing Traffic,Pedestrian,E,0,1,0,0,1,1,0,0,0,0,1,0
80975,Medical treatment,2021,June,Wednesday,10,Hit object,Single Vehicle,153.4508394,-27.4167959,Beehive Rd,,,North Stradbroke Island,Redland City,4183,Dunwich,South Brisbane,Brisbane,SEQ South,Metropolitan,Redland Islands,Cleveland - Stradbroke,Brisbane - East,Remote,Oodgeroo,Bowman,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Curved - view obscured,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,S,0,0,1,0,1,1,0,0,0,0,0,0
148740,Hospitalisation,2021,January,Friday,16,Overturned,Single Vehicle,152.912567,-26.411353,Lake Macdonald Dr,,,Cooroy,Noosa Shire,4563,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Crest,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,S,0,1,0,0,1,1,0,0,0,0,0,0
148741,Hospitalisation,2021,February,Friday,11,Hit object,Single Vehicle,152.8647912,-26.38618942,Highfield Rise,Wybalena Rd,,Pomona,Noosa Shire,4568,Pomona,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,Locally-controlled,Intersection - T-Junction,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Crest,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,E,0,1,0,0,1,1,0,0,0,0,0,0
148742,Minor injury,2021,February,Saturday,12,Rear-end,Multi-Vehicle,152.9447483,-26.40586993,Cooroy - Noosa Rd,,Cooroy - Noosa Road,Lake Macdonald,Noosa Shire,4563,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,1,1,2,0,0,0,0,0,0
148743,Minor injury,2021,April,Sunday,22,Hit object,Single Vehicle,152.9031152,-26.41759942,Garnet St,Sportsground Pde,,Cooroy,Noosa Shire,4563,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,N,0,0,0,1,1,1,0,0,0,0,0,0
148744,Medical treatment,2021,May,Thursday,16,Head-on,Multi-Vehicle,152.9100092,-26.41927775,Myall St,,,Cooroy,Noosa Shire,4563,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,201,Veh'S Opposite Approach: Head On,Head-on,N,0,0,1,1,2,2,0,0,0,0,0,0
148745,Hospitalisation,2021,May,Thursday,16,Fall from vehicle,Single Vehicle,152.9211792,-26.44035343,Holts Rd,,,Cooroy,Noosa Shire,4563,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view obscured,Level,801,Off Path-Curve: Off Cway Right Bend,Off carriageway on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
150802,Hospitalisation,2021,March,Saturday,19,Angle,Multi-Vehicle,152.8930991,-26.77583343,Landsborough - Maleny Rd,Mountain View Rd,Landsborough - Maleny Road,Bald Knob,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,Intersection - T-Junction,Give way sign,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,104,Veh'S Adjacent Approach: Thru-Right,Intersection from adjacent approaches,W,0,2,0,0,2,2,0,0,0,0,0,0
150803,Hospitalisation,2021,April,Saturday,13,Fall from vehicle,Single Vehicle,152.9658031,-26.80929643,Cribb St,Maleny St,Landsborough - Maleny Road,Landsborough,Sunshine Coast Region,4550,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Caloundra,Fisher,State-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,W,0,1,0,0,1,1,1,0,0,0,0,0
150804,Hospitalisation,2021,April,Tuesday,6,Head-on,Multi-Vehicle,153.0131541,-26.77317344,Mooloolah Connection Rd,,Mooloolah Connection Road,Glenview,Sunshine Coast Region,4553,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Caloundra,Fisher,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,201,Veh'S Opposite Approach: Head On,Head-on,W,0,2,1,0,3,2,0,0,0,0,0,0
150805,Medical treatment,2021,April,Monday,6,Fall from vehicle,Single Vehicle,152.9770211,-26.80599943,Caloundra St,Steve Irwin Way,,Landsborough,Sunshine Coast Region,4550,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Caloundra,Fisher,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,N,0,0,1,0,1,0,1,0,0,0,0,0
150806,Hospitalisation,2021,April,Monday,18,Hit object,Single Vehicle,152.9862153,-26.75924947,Old Gympie Rd,,,Mooloolah Valley,Sunshine Coast Region,4553,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,W,0,3,0,0,3,1,0,0,0,0,0,0
152219,Hospitalisation,2021,January,Saturday,10,Fall from vehicle,Single Vehicle,152.7751602,-26.71533641,Maleny - Kenilworth Rd,,Maleny - Kenilworth Road,Elaman Creek,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
152220,Hospitalisation,2021,February,Tuesday,13,Head-on,Multi-Vehicle,152.7764139,-26.71523791,Maleny - Kenilworth Rd,,Maleny - Kenilworth Road,Elaman Creek,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,201,Veh'S Opposite Approach: Head On,Head-on,N,0,3,0,0,3,2,0,0,0,0,0,0
152221,Hospitalisation,2021,March,Friday,9,Rear-end,Multi-Vehicle,152.8861351,-26.76424643,Maleny - Montville Rd,Sinclairs La,Maleny - Montville Road,Balmoral Ridge,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303,Veh'S Same Direction: Right Rear,Rear-end,N,0,1,0,1,2,2,0,0,0,0,0,0
152222,Fatal,2021,May,Thursday,12,Hit object,Single Vehicle,152.8850751,-26.76831743,Grandview Rd,Landsborough - Maleny Rd,Landsborough - Maleny Road,Maleny,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,Intersection - T-Junction,Stop sign,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Crest,106,Veh'S Adjacent Approach: Left-Right,Intersection from adjacent approaches,E,1,0,1,0,2,2,0,0,0,0,0,0
152223,Medical treatment,2021,June,Monday,13,Fall from vehicle,Single Vehicle,152.8834411,-26.76879343,Landsborough - Maleny Rd,,Landsborough - Maleny Road,Maleny,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,E,0,0,1,0,1,0,1,0,0,0,0,0
152224,Medical treatment,2021,June,Wednesday,17,Hit object,Single Vehicle,152.7990562,-26.70973742,Maleny - Kenilworth Rd,,Maleny - Kenilworth Road,Witta,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Grade,800,Off Path-Curve: Other,Other,E,0,0,2,0,2,1,0,0,0,0,0,0
158497,Hospitalisation,2021,January,Tuesday,6,Fall from vehicle,Single Vehicle,152.1945316,-26.87328634,D'Aguilar Hwy,,D'Aguilar Highway (Kilcoy - Yarraman),Moore,Somerset Region,4306,Moore,Moreton,North Coast,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Outer Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
158498,Hospitalisation,2021,January,Sunday,21,Hit object,Single Vehicle,152.1623552,-26.87449612,D'Aguilar Hwy,,D'Aguilar Highway (Kilcoy - Yarraman),Moore,Somerset Region,4306,Blackbutt,Darling Downs,Southern,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Outer Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,704,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,N,0,1,0,0,1,1,0,0,0,0,0,0
158499,Hospitalisation,2021,April,Friday,4,Hit object,Single Vehicle,152.1946947,-26.87327664,D'Aguilar Hwy,,D'Aguilar Highway (Kilcoy - Yarraman),Moore,Somerset Region,4306,Moore,Moreton,North Coast,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Outer Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,E,0,1,0,0,1,1,0,0,0,0,0,0
158500,Hospitalisation,2021,June,Thursday,4,Head-on,Multi-Vehicle,152.4385614,-26.93339578,D'Aguilar Hwy,,D'Aguilar Highway (Kilcoy - Yarraman),Harlin,Somerset Region,4306,Moore,Moreton,North Coast,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Inner Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,201,Veh'S Opposite Approach: Head On,Head-on,W,0,1,0,0,1,2,0,0,0,0,0,0
158501,Hospitalisation,2021,June,Friday,19,Fall from vehicle,Single Vehicle,152.1638952,-26.87386636,D'Aguilar Hwy,Old Esk Rd,D'Aguilar Highway (Kilcoy - Yarraman),Moore,Somerset Region,4306,Blackbutt,Darling Downs,Southern,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Outer Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Grade,901,Pass & Misc: Fell In/From Vehicle,Other,S,0,1,0,0,1,1,0,0,0,0,0,0
167867,Minor injury,2021,January,Saturday,10,Angle,Multi-Vehicle,152.8883202,-26.39254542,Elm St,Yurol Forest Dr,Cooroy Connection Road,Pomona,Noosa Shire,4568,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,State-controlled,Intersection - T-Junction,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,N,0,0,0,1,1,1,1,0,0,0,0,0
167868,Hospitalisation,2021,January,Saturday,8,Sideswipe,Multi-Vehicle,152.8761172,-26.31319742,Pomona - Kin Kin Rd,,Kin Kin Road,Kin Kin,Noosa Shire,4571,Pomona,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,201,Veh'S Opposite Approach: Head On,Head-on,N,0,1,0,0,1,0,1,0,0,0,0,0
167869,Medical treatment,2021,March,Thursday,6,Rear-end,Multi-Vehicle,152.8888482,-26.39299442,Elm St,Yurol Forest Dr,Cooroy Connection Road,Pomona,Noosa Shire,4568,Cooroy,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,0,0,0,0,0,0
167870,Minor injury,2021,April,Friday,15,Overturned,Single Vehicle,152.8916715,-26.34116183,Louis Bazzo Dr,,Boreen Road,Pomona,Noosa Shire,4568,Pomona,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,Bridge/Causeway,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,802,Off Path-Curve: Off Cway Left Bend,Off carriageway on curve,W,0,0,0,1,1,1,0,0,0,0,0,0
167871,Hospitalisation,2021,June,Saturday,2,Hit object,Single Vehicle,152.8330692,-26.36427042,Jampot Ck Rd,,,Pomona,Noosa Shire,4568,Pomona,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Unsealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,E,0,1,0,0,1,1,0,0,0,0,0,0
167872,Hospitalisation,2021,June,Sunday,22,Hit object,Single Vehicle,152.9681482,-26.30821943,Louis Bazzo Dr,Mckinnon Dr,Boreen Point-Tewantin Road,Cootharaba,Noosa Shire,4565,Noosa Heads,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,N,0,1,0,0,1,1,0,0,0,0,0,0
167873,Hospitalisation,2021,June,Friday,13,Overturned,Single Vehicle,153.0050482,-26.37285243,Lake Cooroibah Rd,,,Cooroibah,Noosa Shire,4565,Noosa Heads,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,801,Off Path-Curve: Off Cway Right Bend,Off carriageway on curve,S,0,1,0,0,1,1,0,0,0,0,0,0
168090,Hospitalisation,2021,January,Thursday,14,Fall from vehicle,Single Vehicle,152.749738,-28.32579842,Mt Lindesay Hwy,,Mount Lindesay Highway (Beaudesert - Border),Mount Lindesay,Scenic Rim Region,4287,Rathdowney,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Dip,201,Veh'S Opposite Approach: Head On,Head-on,N,0,1,0,0,1,0,1,1,0,0,0,0
168091,Hospitalisation,2021,January,Saturday,14,Hit object,Single Vehicle,152.9124679,-28.31074444,Running Creek Rd,,Running Creek Road,Running Creek,Scenic Rim Region,4287,Rathdowney,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,S,0,2,0,0,2,1,0,0,0,0,0,0
168092,Hospitalisation,2021,February,Saturday,12,Hit object,Single Vehicle,152.9220932,-28.31809219,Running Creek Rd,,Running Creek Road,Running Creek,Scenic Rim Region,4287,Rathdowney,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,Bridge/Causeway,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Dip,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,W,0,1,0,0,1,0,1,0,0,0,0,0
168093,Fatal,2021,February,Friday,14,Hit object,Single Vehicle,152.742826,-28.24322742,Seidenspinner Rd,,,Mount Barney,Scenic Rim Region,4287,Rathdowney,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Straight,Grade,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,N,1,0,0,0,1,1,0,0,0,0,0,0
